from,to,cost
0,1,1
1,0,1
1,2,1
2,1,1
2,3,1
3,2,1
3,4,1
4,3,1
4,5,1
5,4,1
5,6,1
6,5,1
6,7,1
7,6,1
7,8,1
8,7,1
8,9,1
9,8,1
9,10,1
10,9,1
10,42,1
42,43,1
43,42,1
10,11,1
11,12,1
12,11,1
12,13,1
13,12,1
13,14,1
14,13,1
14,15,1
15,14,1
15,26,1
26,15,1
26,16,1
16,26,1
16,17,1
17,16,1
17,18,1
18,17,1
18,19,1
19,18,1
19,20,1
20,19,1
20,25,1
25,20,1
25,21,1
21,25,1
21,22,1
22,21,1
22,23,1
23,22,1
23,24,1
24,23,1
16,27,1
27,16,1
27,28,1
28,27,1
28,29,1
29,28,1
29,30,1
30,29,1
30,31,1
31,30,1
31,32,1
32,31,1
32,33,1
33,32,1
33,34,1
34,33,1
34,35,1
35,34,1
35,36,1
36,35,1
36,37,1
37,36,1
37,38,1
38,37,1
38,39,1
39,38,1
39,40,1
40,39,1
40,41,1
41,40,1
42,10,1
11,10,1
